word_index,emoji,unicode_codepoint
645,☏,U+260F
646,☐,U+2610
647,☑,U+2611
648,☒,U+2612
649,☓,U+2613
650,☔,U+2614
651,☕,U+2615
652,☖,U+2616
653,☗,U+2617
654,☘,U+2618
655,☙,U+2619
656,☚,U+261A
657,☛,U+261B
658,☜,U+261C
659,☝,U+261D
660,☞,U+261E
661,☟,U+261F
662,☠,U+2620
663,☡,U+2621
664,☢,U+2622
665,☣,U+2623
666,☤,U+2624
667,☥,U+2625
668,☦,U+2626
669,☧,U+2627
670,☨,U+2628
671,☩,U+2629
672,☪,U+262A
673,☫,U+262B
674,☬,U+262C
675,☭,U+262D
676,☮,U+262E
677,☯,U+262F
678,☰,U+2630
679,☱,U+2631
680,☲,U+2632
681,☳,U+2633
682,☴,U+2634
683,☵,U+2635
684,☶,U+2636
685,☷,U+2637
686,☸,U+2638
687,☹,U+2639
688,☺,U+263A
689,☻,U+263B
690,☼,U+263C
691,☽,U+263D
692,☾,U+263E
693,☿,U+263F
694,♀,U+2640
695,♁,U+2641
696,♂,U+2642
697,♃,U+2643
698,♄,U+2644
699,♅,U+2645
700,♆,U+2646
701,♇,U+2647
702,♈,U+2648
703,♉,U+2649
704,♊,U+264A
705,♋,U+264B
706,♌,U+264C
707,♍,U+264D
708,♎,U+264E
709,♏,U+264F
710,♐,U+2650
711,♑,U+2651
712,♒,U+2652
713,♓,U+2653
714,♔,U+2654
715,♕,U+2655
716,♖,U+2656
717,♗,U+2657
718,♘,U+2658
719,♙,U+2659
720,♚,U+265A
721,♛,U+265B
722,♜,U+265C
723,♝,U+265D
724,♞,U+265E
725,♟,U+265F
726,♠,U+2660
727,♡,U+2661
728,♢,U+2662
729,♣,U+2663
730,♤,U+2664
731,♥,U+2665
732,♦,U+2666
733,♧,U+2667
734,♨,U+2668
735,♩,U+2669
736,♪,U+266A
737,♫,U+266B
738,♬,U+266C
739,♭,U+266D
740,♮,U+266E
741,♯,U+266F
742,♰,U+2670
743,♱,U+2671
744,♲,U+2672
745,♳,U+2673
746,♴,U+2674
747,♵,U+2675
748,♶,U+2676
749,♷,U+2677
750,♸,U+2678
751,♹,U+2679
752,♺,U+267A
753,♻,U+267B
754,♼,U+267C
755,♽,U+267D
756,♾,U+267E
757,♿,U+267F
758,⚀,U+2680
759,⚁,U+2681
760,⚂,U+2682
761,⚃,U+2683
762,⚄,U+2684
763,⚅,U+2685
764,⚆,U+2686
765,⚇,U+2687
766,⚈,U+2688
767,⚉,U+2689
768,⚊,U+268A
769,⚋,U+268B
770,⚌,U+268C
771,⚍,U+268D
772,⚎,U+268E
773,⚏,U+268F
774,⚐,U+2690
775,⚑,U+2691
776,⚒,U+2692
777,⚓,U+2693
778,⚔,U+2694
779,⚕,U+2695
780,⚖,U+2696
781,⚗,U+2697
782,⚘,U+2698
783,⚙,U+2699
784,⚚,U+269A
785,⚛,U+269B
786,⚜,U+269C
787,⚝,U+269D
788,⚞,U+269E
789,⚟,U+269F
790,⚠,U+26A0
791,⚡,U+26A1
792,⚢,U+26A2
793,⚣,U+26A3
794,⚤,U+26A4
795,⚥,U+26A5
796,⚦,U+26A6
797,⚧,U+26A7
798,⚨,U+26A8
799,⚩,U+26A9
800,⚪,U+26AA
801,⚫,U+26AB
802,⚬,U+26AC
803,⚭,U+26AD
804,⚮,U+26AE
805,⚯,U+26AF
806,⚰,U+26B0
807,⚱,U+26B1
808,⚲,U+26B2
809,⚳,U+26B3
810,⚴,U+26B4
811,⚵,U+26B5
812,⚶,U+26B6
813,⚷,U+26B7
814,⚸,U+26B8
815,⚹,U+26B9
816,⚺,U+26BA
817,⚻,U+26BB
818,⚼,U+26BC
819,⚽,U+26BD
820,⚾,U+26BE
821,⚿,U+26BF
822,⛀,U+26C0
823,⛁,U+26C1
824,⛂,U+26C2
825,⛃,U+26C3
826,⛄,U+26C4
827,⛅,U+26C5
